rank,gene,condition,n_suppress_effector,suppress_sum_absz,suppress_max_absz,suppress_cytokines,n_boost,boost_sum_absz,boost_max_absz,boost_cytokines
506.0,PIN4,Stim48hr,1,4.88,4.88,IL3,0,,,
507.0,CCDC124,Stim8hr,1,4.855,4.855,IL22,0,,,
508.0,CAST,Stim48hr,1,4.85,4.85,IL13,0,,,
509.0,JUND,Stim8hr,1,4.846,4.846,IL5,1,4.159,4.159,IL22
510.0,SRXN1,Stim8hr,1,4.828,4.828,IL22,0,,,
511.0,CCDC93,Stim8hr,1,4.823,4.823,IL13,0,,,
512.0,TXNDC15,Stim8hr,1,4.805,4.805,IL5,0,,,
513.0,TADA1,Rest,1,4.792,4.792,TNF,2,6.368,3.775,"IL2RA,LTA"
514.0,TPCN1,Stim8hr,1,4.786,4.786,IL22,0,,,
515.0,ICMT,Stim48hr,1,4.776,4.776,IL2RA,0,,,
516.0,SEC22B,Stim8hr,1,4.772,4.772,IL3,0,,,
517.0,MED13L,Stim48hr,1,4.766,4.766,CSF2,0,,,
518.0,MIOS,Stim8hr,1,4.755,4.755,IL3,1,3.363,3.363,IL10
519.0,VCF2,Stim8hr,1,4.747,4.747,IL22,1,4.525,4.525,IL2
520.0,TSPAN31,Stim8hr,1,4.738,4.738,IL5,0,,,
521.0,GIMAP4,Stim48hr,1,4.712,4.712,IL3,0,,,
522.0,ARIH1,Stim48hr,1,4.708,4.708,IL4,2,5.85,3.05,"IL10,IL21"
523.0,CCNY,Stim8hr,1,4.692,4.692,IL5,0,,,
524.0,XPO6,Stim48hr,1,4.684,4.684,IL5,0,,,
525.0,RLF,Stim48hr,1,4.675,4.675,IL3,0,,,
526.0,TLCD1,Stim8hr,1,4.662,4.662,IL5,0,,,
527.0,BLOC1S2,Stim48hr,1,4.658,4.658,IL3,1,6.429,6.429,IL2
528.0,NFKB2,Stim48hr,1,4.653,4.653,IL5,3,11.806999999999999,5.61,"CTLA4,IL21,IL23R"
529.0,SPICE1,Stim8hr,1,4.65,4.65,IL4,0,,,
530.0,PALS2,Stim8hr,1,4.648,4.648,IL5,0,,,
531.0,FLCN,Stim8hr,1,4.633,4.633,IL22,0,,,
532.0,PTBP1,Stim8hr,1,4.631,4.631,IL2,1,7.9,7.9,LTA
533.0,ST20,Stim8hr,1,4.628,4.628,IL22,0,,,
534.0,PRPF40B,Stim8hr,1,4.625,4.625,IL5,0,,,
535.0,DNAJC15,Stim48hr,1,4.617,4.617,IL3,0,,,
536.0,HERC6,Stim8hr,1,4.616,4.616,IL5,0,,,
537.0,TIMM50,Stim8hr,1,4.612,4.612,IL13,1,3.638,3.638,IL23R
538.0,DNAJB2,Stim8hr,1,4.608,4.608,IL22,0,,,
539.0,SEC23A,Stim8hr,1,4.598,4.598,IL5,0,,,
540.0,AMZ2,Stim8hr,1,4.594,4.594,IL5,0,,,
541.0,ELOA,Stim48hr,1,4.585,4.585,IL2RA,0,,,
542.0,LIN7C,Stim48hr,1,4.585,4.585,IL3,1,4.203,4.203,IL4
543.0,TIMMDC1,Stim48hr,1,4.575,4.575,IL2RA,0,,,
544.0,CKAP2L,Stim8hr,1,4.57,4.57,IL22,0,,,
545.0,RBM7,Stim8hr,1,4.569,4.569,IL2RA,0,,,
546.0,ARNT,Stim8hr,1,4.565,4.565,IL22,4,17.232999999999997,4.677,"IFNG,IL10,IL2,IL3"
547.0,CCDC71,Stim8hr,1,4.555,4.555,IL22,0,,,
548.0,BCL3,Stim48hr,1,4.554,4.554,IL3,0,,,
549.0,DNAJA1,Stim48hr,1,4.554,4.554,IL3,0,,,
550.0,GAS2L1,Stim48hr,1,4.554,4.554,IL3,0,,,
551.0,ZNF75A,Stim8hr,1,4.54,4.54,IL5,0,,,
552.0,AHCYL1,Stim8hr,1,4.539,4.539,IL22,1,4.381,4.381,IL21
553.0,DNAJC24,Stim48hr,1,4.537,4.537,IL4,1,2.918,2.918,IL2RA
554.0,TFG,Stim8hr,1,4.516,4.516,IL2RA,1,3.168,3.168,IL2
555.0,SLC11A2,Stim8hr,1,4.511,4.511,IL22,0,,,
556.0,PACC1,Stim48hr,1,4.509,4.509,IL3,0,,,
557.0,RIMOC1,Stim8hr,1,4.509,4.509,IL22,0,,,
558.0,CRY1,Stim8hr,1,4.504,4.504,IL22,0,,,
559.0,AKR1C3,Stim48hr,1,4.503,4.503,IL2,0,,,
560.0,ME2,Stim48hr,1,4.502,4.502,IL5,0,,,
561.0,DHX58,Stim8hr,1,4.493,4.493,IL22,0,,,
562.0,ARK2N,Stim48hr,1,4.491,4.491,IL3,0,,,
563.0,TET2,Stim8hr,1,4.486,4.486,IL13,0,,,
564.0,RARA,Stim8hr,1,4.481,4.481,IL22,0,,,
565.0,SETDB2,Stim8hr,1,4.472,4.472,IL22,0,,,
566.0,RHOC,Stim8hr,1,4.47,4.47,IL5,0,,,
567.0,ATP5PO,Stim8hr,1,4.461,4.461,IL22,0,,,
568.0,CCNT2,Stim48hr,1,4.46,4.46,IL3,0,,,
569.0,TC2N,Stim8hr,1,4.458,4.458,IL22,0,,,
570.0,DUSP2,Stim48hr,1,4.452,4.452,IL3,0,,,
571.0,RIC8B,Stim8hr,1,4.447,4.447,IL22,0,,,
572.0,TMEM30A,Stim48hr,1,4.445,4.445,IL2RA,0,,,
573.0,NPDC1,Stim48hr,1,4.438,4.438,IL3,0,,,
574.0,UCKL1,Stim8hr,1,4.434,4.434,IL22,0,,,
575.0,TAPBPL,Stim48hr,1,4.432,4.432,IL2,0,,,
576.0,CMTM8,Stim8hr,1,4.415,4.415,IL5,0,,,
577.0,ENTR1,Stim8hr,1,4.41,4.41,IL22,0,,,
578.0,URM1,Stim8hr,1,4.406,4.406,IL5,1,2.994,2.994,TNF
579.0,CTNNB1,Stim48hr,1,4.405,4.405,IL3,0,,,
580.0,CD37,Stim8hr,1,4.402,4.402,IL5,0,,,
581.0,PRKAB2,Stim8hr,1,4.401,4.401,IL5,0,,,
582.0,YWHAE,Stim8hr,1,4.401,4.401,IL5,0,,,
583.0,MRNIP,Stim8hr,1,4.395,4.395,IL22,0,,,
584.0,PMVK,Stim8hr,1,4.395,4.395,IL5,0,,,
585.0,STAT5A,Stim48hr,1,4.394,4.394,IL13,0,,,
586.0,CYTH4,Stim48hr,1,4.391,4.391,IL5,0,,,
587.0,CCNB1IP1,Stim8hr,1,4.39,4.39,IL2,0,,,
588.0,DUSP23,Stim8hr,1,4.389,4.389,IL22,0,,,
589.0,SLC27A2,Stim8hr,1,4.383,4.383,IL22,0,,,
590.0,KAT2B,Stim8hr,1,4.375,4.375,IL2,0,,,
591.0,FOXO3,Stim8hr,1,4.371,4.371,IL22,0,,,
592.0,ZFP36,Stim8hr,1,4.369,4.369,IL5,0,,,
593.0,ANKRD9,Stim8hr,1,4.367,4.367,IL5,0,,,
594.0,PILRB,Stim8hr,1,4.364,4.364,IL22,0,,,
595.0,ZNF518B,Stim8hr,1,4.364,4.364,IL22,0,,,
596.0,KCTD15,Stim8hr,1,4.363,4.363,IL22,0,,,
597.0,MKKS,Stim8hr,1,4.358,4.358,IL22,0,,,
598.0,FLCN,Stim48hr,1,4.356,4.356,IL2,1,3.311,3.311,CSF2
599.0,ARMCX3,Stim48hr,1,4.355,4.355,IL3,0,,,
600.0,TXNRD1,Stim48hr,1,4.352,4.352,CSF2,0,,,
601.0,PPP4R3A,Stim8hr,1,4.345,4.345,IL22,0,,,
602.0,PATL1,Stim8hr,1,4.343,4.343,IL22,0,,,
603.0,GADD45A,Stim48hr,1,4.339,4.339,IL2,0,,,
604.0,ATL3,Stim48hr,1,4.338,4.338,IL3,0,,,
605.0,LRRC40,Stim8hr,1,4.331,4.331,IL5,0,,,
606.0,VAMP1,Stim8hr,1,4.324,4.324,IL5,0,,,
607.0,OAZ1,Stim8hr,1,4.322,4.322,IL22,0,,,
608.0,GSS,Stim8hr,1,4.321,4.321,IL22,0,,,
609.0,HPF1,Stim48hr,1,4.32,4.32,IL3,0,,,
610.0,TRAF6,Stim48hr,1,4.319,4.319,IFNG,0,,,
611.0,ACP6,Stim48hr,1,4.312,4.312,IL21,0,,,
612.0,MT1X,Stim48hr,1,4.312,4.312,IL3,0,,,
613.0,PPP4C,Stim8hr,1,4.312,4.312,IL13,0,,,
614.0,CNPY3,Stim8hr,1,4.311,4.311,IL5,0,,,
615.0,LRFN4,Stim8hr,1,4.311,4.311,IL5,0,,,
616.0,KLHDC4,Stim8hr,1,4.306,4.306,IL5,0,,,
617.0,HDGFL3,Stim8hr,1,4.293,4.293,IL22,0,,,
618.0,MLX,Stim48hr,1,4.289,4.289,IL3,0,,,
619.0,SAFB,Stim8hr,1,4.289,4.289,IL22,0,,,
