gene,ensg,n_directions,biotype,protein_class,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,n_assoc_diseases,chembl_pref_name,chembl_target_id
UFM1,ENSG00000120686,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,243,Ubiquitin-fold modifier 1,CHEMBL6066523
UQCRC2,ENSG00000140740,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,172,"Cytochrome b-c1 complex subunit 2, mitochondrial",CHEMBL6066941
USP7,ENSG00000187555,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,358,Ubiquitin carboxyl-terminal hydrolase 7,CHEMBL2157850
VAV1,ENSG00000141968,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,389,Proto-oncogene vav,CHEMBL3259472
VBP1,ENSG00000155959,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,58,,
WAS,ENSG00000015285,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,766,,
XIAP,ENSG00000101966,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,913,E3 ubiquitin-protein ligase XIAP,CHEMBL4198
YTHDF2,ENSG00000198492,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,452,YTH domain-containing family protein 2,CHEMBL4295992
ZNF622,ENSG00000173545,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,56,,
SENP5,ENSG00000119231,4,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,76,Sentrin-specific protease 5,CHEMBL4802012
ATP2A2,ENSG00000174437,3,protein_coding,SINGLE PROTEIN,True,True,Advanced Clinical,True,2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 activator [ACTIVATOR],False,1486,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,CHEMBL3901
BCL10,ENSG00000142867,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,348,,
BHLHE40,ENSG00000134107,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,696,,
CD2,ENSG00000116824,3,protein_coding,SINGLE PROTEIN,False,True,,True,2,T-cell surface antigen CD2 inhibitor [INHIBITOR],False,601,T-cell surface antigen CD2,CHEMBL2040
