gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
KIF16B,ENSG00000089177,1,False,False,True,False
KIF5C,ENSG00000168280,1,False,False,True,False
KLF10,ENSG00000155090,1,True,False,False,False
KMT2E,ENSG00000005483,2,True,True,False,False
KMT5B,ENSG00000110066,1,True,False,False,False
KPNA4,ENSG00000186432,1,False,False,True,False
KRBA2,ENSG00000184619,1,True,False,False,False
KRCC1,ENSG00000172086,1,False,False,True,False
KRR1,ENSG00000111615,1,True,False,False,False
KTI12,ENSG00000198841,1,True,False,False,False
KTN1,ENSG00000126777,2,True,False,True,False
LAIR2,ENSG00000167618,1,False,False,True,False
LAMP1,ENSG00000185896,1,False,True,False,False
LAMTOR4,ENSG00000188186,1,True,False,False,False
LAMTOR5,ENSG00000134248,1,False,False,True,False
LARP4,ENSG00000161813,1,False,False,True,False
LAT,ENSG00000213658,4,True,True,True,True
LAT2,ENSG00000086730,1,False,False,True,False
LBH,ENSG00000213626,2,True,False,True,False
LCK,ENSG00000182866,2,True,False,False,True
LEO1,ENSG00000166477,3,True,True,False,True
LETM1,ENSG00000168924,1,True,False,False,False
LETM2,ENSG00000165046,2,True,False,True,False
LIG1,ENSG00000105486,1,True,False,False,False
LIG3,ENSG00000005156,2,True,False,True,False
LIG4,ENSG00000174405,1,False,False,True,False
LIN7C,ENSG00000148943,2,True,True,False,False
LMAN1,ENSG00000074695,1,False,False,True,False
LMBR1L,ENSG00000139636,1,True,False,False,False
LMTK2,ENSG00000164715,2,True,True,False,False
LRIG1,ENSG00000144749,1,False,False,True,False
LRP5,ENSG00000162337,1,False,False,True,False
LRPPRC,ENSG00000138095,2,True,False,False,True
LRRC58,ENSG00000163428,1,True,False,False,False
LRRC8B,ENSG00000197147,1,False,False,True,False
LSM10,ENSG00000181817,1,False,False,True,False
LSM11,ENSG00000155858,1,False,False,True,False
LSM12,ENSG00000161654,1,False,False,True,False
LSM14A,ENSG00000257103,1,True,False,False,False
LSS,ENSG00000160285,1,False,False,True,False
MAD2L1BP,ENSG00000124688,1,True,False,False,False
MAEA,ENSG00000090316,3,True,True,False,True
MAF,ENSG00000178573,1,False,False,True,False
MALT1,ENSG00000172175,3,True,False,True,True
MAMLD1,ENSG00000013619,1,False,True,False,False
MAP3K1,ENSG00000095015,1,False,False,True,False
MAPKAP1,ENSG00000119487,1,True,False,False,False
