gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
RSBN1L,ENSG00000187257,Stim48hr,-0.4324,0.0721,0.5462,-1.5689,0.7327,-0.5046,1.6309,-0.8257,2.9001,2.9001,Effector_vs_Treg,→Effector,boost-immunity,0,-23.4219,39
ATP23,ENSG00000166896,Stim8hr,-0.5812,1.206,-0.5569,1.5984,-0.7203,-1.7872,-1.5758,-2.5304,-2.8986,2.8986,Effector_vs_Treg,→Th2; →Treg,suppress-inflammation,0,-9.8483,66
STRAP,ENSG00000023734,Rest,-0.7184,0.411,0.09,1.1041,0.1043,-1.1294,-1.1766,-1.5448,-2.8979,2.8979,Effector_vs_Treg,→Treg,suppress-inflammation,8,-13.623,1699
UQCRQ,ENSG00000164405,Stim8hr,1.2318,-0.9709,0.4985,-1.2738,0.8011,2.2027,1.5269,2.6812,2.8866,2.8866,Effector_vs_Treg,→Th1; →Effector,boost-immunity,4,-10.4673,207
ZNF92,ENSG00000146757,Stim48hr,-0.0572,-0.2086,2.1042,-1.009,0.3976,0.1514,1.6218,0.146,2.8843,2.8843,Effector_vs_Treg,→Effector,boost-immunity,3,-15.0073,244
RIPK1,ENSG00000137275,Stim48hr,-0.0026,-0.8904,-0.7326,-2.1613,-0.469,0.8878,1.6195,1.2368,2.8803,2.8803,Effector_vs_Treg,→Effector,boost-immunity,4,-8.7867,81
DHX36,ENSG00000174953,Rest,0.0458,0.8756,0.7521,-0.5789,0.1139,-0.8298,1.1367,-1.1355,2.8799,2.8799,Effector_vs_Treg,→Effector,boost-immunity,7,-9.5725,2326
MLST8,ENSG00000167965,Stim48hr,-0.5569,-0.9245,-0.2115,1.1372,-0.8213,0.3676,-1.7015,0.4663,-2.8777,2.8777,Effector_vs_Treg,→Treg,suppress-inflammation,10,-13.8722,563
DPH2,ENSG00000132768,Stim48hr,-1.5432,0.345,-0.2492,0.0513,-0.153,-1.8882,-0.5338,-2.8752,-0.8531,2.8752,Th1_vs_Th2,→Th2,skew-Th2,2,-3.6572,170
EARS2,ENSG00000103356,Stim8hr,0.9026,0.1764,0.0214,-1.1538,0.4863,0.7262,1.5205,0.7526,2.8747,2.8747,Effector_vs_Treg,→Effector,boost-immunity,2,-9.3099,276
EIF3J,ENSG00000104131,Stim8hr,-0.1551,-1.2449,0.7384,-1.7404,-0.024,1.0898,1.5199,1.2275,2.8735,2.8735,Effector_vs_Treg,→Effector,boost-immunity,2,-15.6216,234
CHURC1,ENSG00000258289,Rest,0.698,-0.1551,0.4839,1.5079,1.0711,0.8531,-1.1656,1.1636,-2.8705,2.8705,Effector_vs_Treg,→Treg,suppress-inflammation,3,-15.3953,157
MBD3,ENSG00000071655,Stim8hr,0.5534,-1.7936,-0.1679,-0.3076,0.7053,2.3471,-0.1618,2.8699,-0.2621,2.8699,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-30.3134,74
RHBDD1,ENSG00000144468,Rest,0.0053,-0.6069,0.2316,-1.2552,0.0169,0.6122,1.1319,0.8345,2.8678,2.8678,Effector_vs_Treg,→Effector,boost-immunity,0,-5.9903,7
UBQLN4,ENSG00000160803,Stim8hr,-0.3234,-0.3574,-0.6899,1.1011,-0.3034,0.0339,-1.558,-0.1516,-2.8654,2.8654,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.1618,6
LCK,ENSG00000182866,Stim8hr,1.4711,1.0159,0.0789,-0.66,-0.6187,0.4552,1.5153,0.3987,2.8649,2.8649,Effector_vs_Treg,→Effector,boost-immunity,13,-8.9895,2413
FBRS,ENSG00000156860,Rest,-0.1773,0.2586,0.1421,1.2323,0.5951,-0.436,-1.1579,-0.5974,-2.8511,2.8511,Effector_vs_Treg,→Treg,suppress-inflammation,1,-11.8267,39
MMAB,ENSG00000139428,Stim8hr,1.245,-1.0841,-0.4611,-0.6659,-0.9544,2.3291,0.5658,2.8464,1.0946,2.8464,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),9,-7.1997,505
DAP,ENSG00000112977,Stim48hr,-0.5167,-1.0352,0.0931,-2.0794,-1.0267,0.5186,1.5932,0.6899,2.8347,2.8347,Effector_vs_Treg,→Effector,boost-immunity,4,-13.619,265
PRELID1,ENSG00000169230,Stim48hr,-1.7557,0.1024,-0.371,-0.565,0.175,-1.858,-0.1098,-2.8305,-0.1179,2.8305,Th1_vs_Th2,→Th2,skew-Th2,2,-6.425,38
TIPARP,ENSG00000163659,Rest,-0.2546,-0.0935,-0.2699,0.9434,0.3547,-0.1611,-1.1494,-0.2219,-2.83,2.83,Effector_vs_Treg,→Treg,suppress-inflammation,0,-5.1565,363
TNFRSF1A,ENSG00000067182,Rest,-1.1714,0.8979,0.1748,-0.3237,-0.6231,-2.0693,0.2907,-2.8288,0.7669,2.8288,Th1_vs_Th2,→Th2,skew-Th2,0,-12.0514,46
EID2,ENSG00000176396,Stim8hr,0.4532,-0.644,-0.0228,-1.5653,-0.511,1.0972,1.4942,1.2373,2.8255,2.8255,Effector_vs_Treg,→Effector,boost-immunity,2,-8.4334,94
COASY,ENSG00000068120,Stim8hr,1.475,-0.8368,0.5194,-0.2823,0.3249,2.3118,0.6682,2.8237,1.2855,2.8237,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),7,-3.1869,622
BSDC1,ENSG00000160058,Rest,-1.1763,0.8848,-0.4776,0.2383,-0.5361,-2.0611,-0.4947,-2.8176,-1.1949,2.8176,Th1_vs_Th2,→Th2,skew-Th2,0,-19.4751,0
KTN1,ENSG00000126777,Rest,1.4272,-0.6281,-0.299,-0.1127,-0.4096,2.0553,0.2794,2.806,0.7385,2.806,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-14.5312,4
TES,ENSG00000135269,Stim8hr,-0.3987,-0.1324,-1.3075,0.9123,-0.2816,-0.2663,-1.5252,-0.5438,-2.8042,2.8042,Effector_vs_Treg,→Treg,suppress-inflammation,0,-13.9321,1
SIK3,ENSG00000160584,Stim48hr,-0.3421,-0.8244,-0.7998,1.0037,-2.3297,0.4823,-1.6591,0.6361,-2.8041,2.8041,Effector_vs_Treg,→Treg,suppress-inflammation,17,-6.2694,1809
